StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,Backlogs,NoOfAttempts,CollegeName,University
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed,0,2.0,LBRCE,JNTUA
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed,0,3.0,LBRCE,JNTUA
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced,0,1.0,Loyola college,JNTUK
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced,0,2.0,Loyola college,JNTUK
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced,0,1.0,Loyola college,JNTUK
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced,0,1.0,Loyola college,JNTUK
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced,0,1.0,Loyola college,JNTUK
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced,0,1.0,Loyola college,JNTUK
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed,0,3.0,LBRCE,JNTUA
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced,0,1.0,Loyola college,JNTUK
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced,0,1.0,Loyola college,JNTUK
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed,0,3.0,LBRCE,JNTUA
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed,0,3.0,LBRCE,JNTUA
111,8.0,1,1,3,84,4.0,No,Yes,57,61,NotPlaced,0,1.0,Loyola college,JNTUK
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced,0,3.0,Loyola college,JNTUK
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced,0,1.0,Loyola college,JNTUK
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed,0,3.0,LBRCE,JNTUA
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced,0,1.0,Loyola college,JNTUK
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced,0,1.0,Loyola college,JNTUK
117,5.9,1,3,2,90,4.6,Yes,Yes,83,83,Placed,1,3.0,LBRCE,JNTUA
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced,0,2.0,Loyola college,JNTUK
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced,0,2.0,Loyola college,JNTUK
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced,0,2.0,Loyola college,JNTUK
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed,0,3.0,LBRCE,JNTUA
122,8.0,1,1,1,68,4.2,No,Yes,59,66,NotPlaced,0,1.0,Loyola college,JNTUK
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed,0,3.0,LBRCE,JNTUA
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced,0,1.0,Loyola college,JNTUK
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced,0,1.0,Loyola college,JNTUK
126,7.7,1,2,0,73,4.0,No,Yes,65,75,Placed,0,2.0,LBRCE,JNTUA
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced,0,1.0,Loyola college,JNTUK
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced,0,1.0,Loyola college,JNTUK
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced,0,1.0,Loyola college,JNTUK
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed,0,2.0,LBRCE,JNTUA
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed,0,3.0,LBRCE,JNTUA
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced,0,1.0,Loyola college,JNTUK
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed,0,1.0,LBRCE,JNTUA
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced,0,3.0,Loyola college,JNTUK
135,8.0,0,1,0,60,4.0,No,No,57,70,NotPlaced,0,1.0,Loyola college,JNTUK
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced,0,3.0,Loyola college,JNTUK
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed,0,3.0,LBRCE,JNTUA
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed,0,2.0,LBRCE,JNTUA
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced,0,3.0,Loyola college,JNTUK
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed,0,3.0,LBRCE,JNTUA
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced,0,1.0,Loyola college,JNTUK
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed,0,1.0,LBRCE,JNTUA
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed,0,3.0,LBRCE,JNTUA
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced,0,3.0,Loyola college,JNTUK
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed,0,2.0,LBRCE,JNTUA
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed,0,2.0,LBRCE,JNTUA
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced,0,1.0,Loyola college,JNTUK
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed,0,3.0,LBRCE,JNTUA
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced,0,1.0,Loyola college,JNTUK
150,7.9,2,1,0,83,4.0,Yes,Yes,63,70,NotPlaced,0,1.0,Loyola college,JNTUK
151,8.4,2,3,2,90,4.8,Yes,Yes,90,85,Placed,0,3.0,LBRCE,JNTUA
152,8.6,0,3,2,90,4.8,Yes,Yes,73,78,Placed,0,3.0,LBRCE,JNTUA
153,7.8,0,1,0,81,3.9,Yes,Yes,79,65,Placed,0,1.0,LBRCE,JNTUA
154,8.1,2,3,3,90,4.8,Yes,Yes,80,83,Placed,0,3.0,LBRCE,JNTUA
155,7.2,1,3,1,75,4.2,Yes,Yes,64,84,NotPlaced,0,3.0,Loyola college,JNTUK
156,7.7,0,1,0,81,4.8,Yes,Yes,69,63,Placed,0,1.0,LBRCE,JNTUA
157,8.4,1,3,2,90,4.5,Yes,Yes,79,86,Placed,0,3.0,LBRCE,JNTUA
158,8.0,1,3,1,87,4.6,Yes,Yes,72,83,NotPlaced,0,3.0,Loyola college,JNTUK
159,7.8,0,1,1,72,4.0,No,No,61,69,NotPlaced,0,1.0,Loyola college,JNTUK
160,6.5,1,1,0,63,3.5,No,No,56,64,NotPlaced,0,1.0,Loyola college,JNTUK
161,6.5,0,3,0,71,3.6,No,Yes,57,74,NotPlaced,0,3.0,Loyola college,JNTUK
162,7.9,1,2,1,81,4.0,Yes,Yes,60,71,NotPlaced,0,2.0,Loyola college,JNTUK
163,6.7,1,1,0,75,4.2,No,No,56,64,NotPlaced,0,1.0,Loyola college,JNTUK
164,6.9,0,1,0,73,4.1,No,Yes,55,69,Placed,0,1.0,LBRCE,JNTUA
165,6.5,1,1,2,85,4.3,Yes,No,62,72,Placed,0,1.0,LBRCE,JNTUA
166,6.5,0,1,1,79,3.9,No,No,55,66,NotPlaced,0,1.0,Loyola college,JNTUK
167,7.3,1,1,1,71,3.6,No,No,65,64,NotPlaced,0,1.0,Loyola college,JNTUK
168,8.3,2,3,0,71,4.6,Yes,Yes,77,82,Placed,0,3.0,LBRCE,JNTUA
169,7.5,1,1,1,74,3.9,No,No,63,65,NotPlaced,0,1.0,Loyola college,JNTUK
170,8.0,2,3,3,76,4.1,Yes,Yes,78,61,NotPlaced,0,3.0,Loyola college,JNTUK
171,8.3,1,2,1,69,3.8,No,Yes,76,71,NotPlaced,0,2.0,Loyola college,JNTUK
172,6.6,0,3,0,87,4.5,No,No,80,82,NotPlaced,0,3.0,Loyola college,JNTUK
173,7.4,0,3,0,90,4.6,No,No,65,70,NotPlaced,0,3.0,Loyola college,JNTUK
174,8.0,1,1,1,78,4.4,No,No,66,68,NotPlaced,0,1.0,Loyola college,JNTUK
175,8.0,2,3,2,90,4.8,Yes,Yes,78,86,Placed,0,3.0,LBRCE,JNTUA
176,6.7,1,2,0,73,4.5,No,Yes,55,65,NotPlaced,0,2.0,Loyola college,JNTUK
177,8.3,1,2,3,78,3.8,Yes,No,67,65,NotPlaced,0,2.0,Loyola college,JNTUK
178,8.5,1,3,2,90,4.8,Yes,Yes,61,86,Placed,0,3.0,LBRCE,JNTUA
179,7.5,2,1,2,90,4.8,Yes,No,55,65,NotPlaced,0,1.0,Loyola college,JNTUK
180,7.4,1,1,0,60,3.4,No,No,58,62,NotPlaced,0,1.0,Loyola college,JNTUK
181,8.4,0,1,2,88,4.8,Yes,Yes,74,82,Placed,0,1.0,LBRCE,JNTUA
182,8.2,1,3,0,82,4.8,Yes,Yes,70,73,Placed,0,3.0,LBRCE,JNTUA
183,6.5,1,1,0,74,4.2,No,Yes,74,61,NotPlaced,0,1.0,Loyola college,JNTUK
184,7.7,1,1,0,71,4.7,No,Yes,57,69,NotPlaced,0,1.0,Loyola college,JNTUK
185,7.3,1,2,2,67,4.5,No,No,63,66,NotPlaced,0,2.0,Loyola college,JNTUK
186,6.5,0,1,0,78,3.7,Yes,Yes,75,69,NotPlaced,0,1.0,Loyola college,JNTUK
187,6.5,1,1,1,68,4.1,No,No,55,65,NotPlaced,0,1.0,Loyola college,JNTUK
188,7.5,1,1,0,76,4.3,No,Yes,73,79,NotPlaced,0,1.0,Loyola college,JNTUK
189,7.8,1,1,1,65,3.9,No,No,55,70,NotPlaced,0,1.0,Loyola college,JNTUK
190,5.8,1,1,0,78,4.3,No,No,61,62,NotPlaced,2,1.0,Loyola college,JNTUK
191,8.4,2,3,2,90,4.1,Yes,Yes,76,82,Placed,0,3.0,LBRCE,JNTUA
192,7.8,2,2,2,80,4.6,No,Yes,59,74,Placed,0,2.0,LBRCE,JNTUA
193,7.5,1,2,0,77,4.2,Yes,Yes,58,63,NotPlaced,0,2.0,Loyola college,JNTUK
194,8.9,0,1,2,80,4.8,Yes,Yes,75,82,Placed,0,1.0,LBRCE,JNTUA
195,6.5,0,1,0,75,3.7,No,No,58,62,NotPlaced,0,1.0,Loyola college,JNTUK
196,8.4,1,1,2,87,4.1,No,No,78,70,NotPlaced,0,1.0,Loyola college,JNTUK
197,8.1,0,1,0,71,3.6,Yes,No,69,67,NotPlaced,0,1.0,Loyola college,JNTUK
198,8.5,2,3,0,86,4.2,Yes,Yes,60,85,Placed,0,3.0,LBRCE,JNTUA
199,7.6,1,1,1,82,4.8,Yes,Yes,79,86,Placed,0,1.0,LBRCE,JNTUA
200,7.8,2,3,0,79,4.3,Yes,No,87,87,NotPlaced,0,3.0,Loyola college,JNTUK
201,8.6,1,3,2,90,4.7,Yes,Yes,68,84,Placed,0,3.0,LBRCE,JNTUA
202,7.9,2,3,2,76,4.6,Yes,Yes,79,82,Placed,0,3.0,LBRCE,JNTUA
203,6.5,0,2,2,75,4.5,Yes,No,65,59,NotPlaced,0,2.0,Loyola college,JNTUK
204,8.2,0,2,1,82,4.5,Yes,Yes,78,87,Placed,0,2.0,LBRCE,JNTUA
205,8.2,1,1,0,81,4.3,Yes,Yes,60,70,Placed,0,1.0,LBRCE,JNTUA
206,7.6,1,1,0,64,4.1,No,No,69,67,NotPlaced,0,1.0,Loyola college,JNTUK
207,7.3,1,2,1,84,4.6,No,Yes,55,72,NotPlaced,0,2.0,Loyola college,JNTUK
208,8.4,2,3,2,90,4.5,Yes,Yes,85,79,Placed,0,3.0,LBRCE,JNTUA
209,8.3,2,3,3,90,4.5,Yes,Yes,70,88,Placed,0,3.0,LBRCE,JNTUA
210,7.8,1,3,0,88,4.8,Yes,Yes,70,78,Placed,0,3.0,LBRCE,JNTUA
211,8.3,1,2,1,82,4.7,Yes,Yes,77,84,NotPlaced,0,2.0,Loyola college,JNTUK
212,7.5,1,1,1,69,4.1,No,No,55,75,NotPlaced,0,1.0,Loyola college,JNTUK
213,8.6,2,3,2,78,4.8,Yes,Yes,82,81,NotPlaced,0,3.0,Loyola college,JNTUK
214,7.8,2,2,2,77,4.2,Yes,No,57,69,NotPlaced,0,2.0,Loyola college,JNTUK
215,6.6,1,1,1,71,4.3,No,No,70,66,NotPlaced,0,1.0,Loyola college,JNTUK
216,7.4,0,1,1,70,4.2,No,No,61,70,NotPlaced,0,1.0,Loyola college,JNTUK
217,6.9,1,2,1,74,4.1,No,No,55,69,NotPlaced,0,2.0,Loyola college,JNTUK
218,6.6,1,1,0,77,4.5,No,No,62,70,NotPlaced,0,1.0,Loyola college,JNTUK
219,8.3,1,2,2,88,4.1,Yes,Yes,80,79,Placed,0,2.0,LBRCE,JNTUA
220,7.9,2,2,2,88,4.8,Yes,Yes,81,85,Placed,0,2.0,LBRCE,JNTUA
221,6.6,1,2,1,76,4.1,Yes,Yes,82,69,NotPlaced,0,2.0,Loyola college,JNTUK
222,8.0,2,3,2,86,4.8,Yes,Yes,62,83,Placed,0,3.0,LBRCE,JNTUA
223,7.5,1,2,0,86,3.8,No,No,55,68,NotPlaced,0,2.0,Loyola college,JNTUK
224,4.0,2,3,2,90,4.8,Yes,No,81,78,NotPlaced,4,3.0,Loyola college,JNTUK
225,8.3,1,3,2,78,3.9,Yes,Yes,60,61,Placed,0,3.0,LBRCE,JNTUA
226,7.4,1,1,0,74,3.5,No,Yes,67,62,NotPlaced,0,1.0,Loyola college,JNTUK
227,8.0,2,2,2,87,3.8,Yes,Yes,79,78,Placed,0,2.0,LBRCE,JNTUA
228,8.7,2,3,2,87,4.7,Yes,Yes,80,84,Placed,0,3.0,LBRCE,JNTUA
229,7.4,1,2,0,77,4.5,No,Yes,66,86,NotPlaced,0,2.0,Loyola college,JNTUK
230,7.9,2,3,2,90,4.8,Yes,Yes,83,88,Placed,0,3.0,LBRCE,JNTUA
231,7.5,1,1,1,70,4.6,No,No,59,66,NotPlaced,0,1.0,Loyola college,JNTUK
232,7.4,2,1,1,87,4.5,Yes,Yes,68,84,NotPlaced,0,1.0,Loyola college,JNTUK
233,7.7,0,1,1,69,4.8,Yes,Yes,78,65,NotPlaced,0,1.0,Loyola college,JNTUK
234,7.8,0,1,1,70,3.8,No,Yes,73,73,NotPlaced,0,1.0,Loyola college,JNTUK
235,7.5,2,3,0,88,4.6,Yes,Yes,79,83,NotPlaced,0,3.0,Loyola college,JNTUK
236,8.2,2,3,1,69,4.0,Yes,Yes,77,82,NotPlaced,0,3.0,Loyola college,JNTUK
237,7.8,1,3,2,75,4.3,Yes,Yes,77,86,NotPlaced,0,3.0,Loyola college,JNTUK
238,7.6,1,1,0,72,4.6,Yes,Yes,68,84,NotPlaced,0,1.0,Loyola college,JNTUK
239,8.5,2,3,2,90,4.8,Yes,Yes,80,79,Placed,0,3.0,LBRCE,JNTUA
240,6.7,0,1,1,71,4.7,No,Yes,76,70,NotPlaced,0,1.0,Loyola college,JNTUK
241,7.6,1,3,0,82,4.5,No,Yes,56,72,NotPlaced,0,3.0,Loyola college,JNTUK
242,7.6,0,2,0,80,3.7,Yes,No,85,61,NotPlaced,0,2.0,Loyola college,JNTUK
243,7.3,1,2,0,71,4.4,No,Yes,58,67,NotPlaced,0,2.0,Loyola college,JNTUK
244,8.1,1,2,1,78,3.5,No,Yes,71,70,NotPlaced,0,2.0,Loyola college,JNTUK
245,7.6,2,3,0,88,4.4,No,Yes,80,68,Placed,0,3.0,LBRCE,JNTUA
246,7.4,1,2,0,77,3.8,No,Yes,59,63,NotPlaced,0,2.0,Loyola college,JNTUK
247,8.4,0,2,1,85,4.3,Yes,Yes,62,81,Placed,0,2.0,LBRCE,JNTUA
248,6.7,1,2,1,73,4.3,No,Yes,71,66,NotPlaced,0,2.0,Loyola college,JNTUK
249,6.5,1,1,0,70,4.7,No,Yes,79,64,NotPlaced,0,1.0,Loyola college,JNTUK
250,7.4,1,2,1,68,3.4,No,Yes,57,61,NotPlaced,0,2.0,Loyola college,JNTUK
251,8.4,2,3,1,76,4.1,Yes,Yes,68,64,NotPlaced,0,3.0,Loyola college,JNTUK
252,6.5,1,1,0,68,4.3,No,Yes,55,70,NotPlaced,0,1.0,Loyola college,JNTUK
253,6.6,1,2,1,82,4.4,Yes,Yes,74,82,NotPlaced,0,2.0,Loyola college,JNTUK
254,8.1,0,2,2,80,4.4,Yes,No,82,85,Placed,0,2.0,LBRCE,JNTUA
255,6.5,1,1,0,74,4.2,No,No,59,65,NotPlaced,0,1.0,Loyola college,JNTUK
256,8.5,1,3,2,75,4.5,Yes,Yes,75,84,NotPlaced,0,3.0,Loyola college,JNTUK
257,8.7,2,3,2,90,4.8,Yes,Yes,83,81,Placed,0,3.0,LBRCE,JNTUA
258,7.5,1,2,3,86,4.8,No,Yes,60,67,NotPlaced,0,2.0,Loyola college,JNTUK
259,8.1,2,3,2,90,4.8,Yes,Yes,86,88,Placed,0,3.0,LBRCE,JNTUA
260,8.2,1,3,1,83,4.1,Yes,Yes,77,83,NotPlaced,0,3.0,Loyola college,JNTUK
261,8.7,2,1,0,66,4.8,Yes,No,70,59,NotPlaced,0,1.0,Loyola college,JNTUK
262,6.6,0,1,2,72,4.2,No,Yes,86,88,Placed,0,1.0,LBRCE,JNTUA
263,8.1,0,2,3,78,4.1,Yes,Yes,81,78,Placed,0,2.0,LBRCE,JNTUA
